The top one hundred titles loan,,,,The number of reservations per library branch per month,,,,,,,,,,,,,,
Ten little penguins,"Brownlow, Mike",94,,,,,,,,,,,,,,,,
What the ladybird heard at the seaside /,"Donaldson, Julia.",94,,,,,,,,,,,,,,,,
Heart bones,"Hoover, Colleen",94,,,,,,,,,,,,,,,,
You Are Here,"Nicholls, David",94,,,,,,,,,,,,,,,,
The dark wives,"Cleeves, Ann",93,,,,,,,,,,,,,,,,
The Great Deceiver,"Griffiths, Elly",93,,,,,,,,,,,,,,,,
Return to Half Moon Farm,"Hepburn, Holly",93,,,,,,,,,,,,,,,,
Mad honey,"Picoult, Jodi",93,,,,,,,,,,,,,,,,
The seventh son,"Faulks, Sebastian",92,,,,,,,,,,,,,,,,
The spy coast,"Gerritsen, Tess",92,,,,,,,,,,,,,,,,
Cat Kid comic club,"Pilkey, Dav",92,,,,,,,,,,,,,,,,
Every little hippo can,"Andreae, Giles",91,,,,,,,,,,,,,,,,
Kill for me kill for you,"Cavanagh, Steve",91,,,,,,,,,,,,,,,,
Ruby Flew Too! /,"Emmett, Jonathan.",91,,,,,,,,,,,,,,,,
