Q1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total issues,April,May,June ,July,Aug,Sept,Oct,Nov,Dec,Jan-24,Feb-24,Mar-24,Totals 2023-24
Machine mayhem / Jamie Smart,"Smart, Jamie",50,,,,,,,,,,,
Cat Kid Comic Club,"Pilkey, Dav, 1966-",50,,,,,,,,,,,
Foster / Claire Keegan,"Keegan, Claire",50,,,,,,,,,,,
A little life / Hanya Yanagihara,"Yanagihara, Hanya",50,,,,,,,,,,,
"Really good, actually / Monica Heisey","Heisey, Monica",50,,,,,,,,,,,
Yellowface / Rebecca F. Kuang,"Kuang, R. F. (Rebecca F.)",50,,,,,,,,,,,
Tales from the DC Dark Multiverse,Various,49,,,,,,,,,,,
"Tomorrow, and tomorrow, and tomorrow / Gabrielle Zevin","Zevin, Gabrielle",49,,,,,,,,,,,
Secret invasion,"Bendis, Brian Michael",48,,,,,,,,,,,
"Bloody carnations / Peter Milligan, writer ; Giuseppe C","Milligan, Peter",48,,,,,,,,,,,
Bunny vs Monkey,"Smart, Jamie",48,,,,,,,,,,,
Cat Kid Comic Club / written and illustrated by Dav Pil,"Beard, George",48,,,,,,,,,,,
Hilo,"Winick, Judd",48,,,,,,,,,,,
The dragonet prophecy : the graphic novel / by Tui T. S,"Deutsch, Barry",48,,,,,,,,,,,
Twisted lies / Ana Huang,"Huang, Ana",48,,,,,,,,,,,
Jamie Smart's Bunny vs Monkey multiverse mix-up!,"Smart, Jamie",48,,,,,,,,,,,
Lessons in chemistry / Bonnie Garmus,"Garmus, Bonnie",48,,,,,,,,,,,
In memoriam / Alice Winn,"Winn, Alice (Alice Mary Felicity), 1992-",48,,,,,,,,,,,
Yellowface / Rebecca F. Kuang,"Kuang, R. F. (Rebecca F.)",48,,,,,,,,,,,
"Killers of the flower moon : oil, money, murder and the","Grann, David",47,,,,,,,,,,,
Dawn and the impossible three : a graphic novel / by Ga,"Galligan, Gale",47,,,,,,,,,,,
I have some questions for you / Rebecca Makkai,"Makkai, Rebecca",47,,,,,,,,,,,
Soldier sailor / Claire Kilroy,"Kilroy, Claire, 1973-",47,,,,,,,,,,,
Judge Dredd : the complete case files,"Wagner, John, 1949-",46,,,,,,,,,,,
Double down / by Jeff Kinney,"Kinney, Jeff",46,,,,,,,,,,,
A court of thorns and roses / Sarah J. Maas,"Maas, Sarah J.",46,,,,,,,,,,,
Dead lions / Mick Herron,"Herron, Mick",46,,,,,,,,,,,
Peppa plays football / adapted by Mandy Archer ; Peppe,"Archer, Mandy",46,,,,,,,,,,,
The marriage portrait / Maggie O'Farrell,"O'Farrell, Maggie, 1972-",46,,,,,,,,,,,
"Tomorrow, and tomorrow, and tomorrow / Gabrielle Zevin","Zevin, Gabrielle",46,,,,,,,,,,,
The bullet that missed / Richard Osman,"Osman, Richard, 1970-",45,,,,,,,,,,,
Dragon city / Katie & Kevin Tsang,"Tsang, Katie, 1987-",45,,,,,,,,,,,
Demon Copperhead / Barbara Kingsolver,"Kingsolver, Barbara",45,,,,,,,,,,,
Rise of the maniacal badger / Jamie Smart,"Smart, Jamie",45,,,,,,,,,,,
Jamie Smart's Bunny vs Monkey multiverse mix-up!,"Smart, Jamie",45,,,,,,,,,,,
Peppa's fantastic unicorn / adapted by Lauren Holowaty,"Holowaty, Lauren",45,,,,,,,,,,,
The hand that first held mine / Maggie O'Farrell,"O'Farrell, Maggie, 1972-",45,,,,,,,,,,,
Lessons in chemistry / Bonnie Garmus,"Garmus, Bonnie",45,,,,,,,,,,,
King of wrath / Ana Huang,"Huang, Ana",45,,,,,,,,,,,
Slow horses [text (large print)] / Mick Herron,"Herron, Mick",44,,,,,,,,,,,
Hippo has a hat / written by Julia Donaldson ; illustra,"Donaldson, Julia",44,,,,,,,,,,,
The bullet that missed / Richard Osman,"Osman, Richard, 1970-",44,,,,,,,,,,,
The last straw / by Jeff Kinney,"Kinney, Jeff",44,,,,,,,,,,,
A court of mist and fury / Sarah J. Maas,"Maas, Sarah J.",44,,,,,,,,,,,
Malibu rising / Taylor Jenkins Reid,"Reid, Taylor Jenkins",44,,,,,,,,,,,
It ends with us / Colleen Hoover,"Hoover, Colleen",44,,,,,,,,,,,
The marriage portrait / Maggie O'Farrell,"O'Farrell, Maggie, 1972-",44,,,,,,,,,,,
Boy parts / Eliza Clark,"Clark, Eliza",44,,,,,,,,,,,
Dog Man / written and illustrated by Dav Pilkey as Geor,"Pilkey, Dav, 1966-",44,,,,,,,,,,,
Heart bones / Colleen Hoover,"Hoover, Colleen",44,,,,,,,,,,,
Isadora Moon and the new girl / Harriet Muncaster ; ill,"Muncaster, Harriet",44,,,,,,,,,,,
Lessons in chemistry / Bonnie Garmus,"Garmus, Bonnie",44,,,,,,,,,,,
All the beauty in the world : a museum guard's adventur,"Bringley, Patrick",44,,,,,,,,,,,
Fourth wing / Rebecca Yarros,"Yarros, Rebecca",44,,,,,,,,,,,
The covenant of water / Abraham Verghese,"Verghese, Abraham, 1955-",44,,,,,,,,,,,
Boy-crazy Stacey / Gale Galligan ; based on the novel b,"Galligan, Gale",43,,,,,,,,,,,
Daisy Jones & the Six / Taylor Jenkins Reid,"Reid, Taylor Jenkins",43,,,,,,,,,,,
#nofilter : get creative with photography / Natalia Pri,"Price-Cabrera, Natalia",43,,,,,,,,,,,
Sisters / Raina Telgemeier with color by Braden Lamb,"Telgemeier, Raina",43,,,,,,,,,,,
Peppa's royal party / Peppa Pig created by Mark Baker a,,43,,,,,,,,,,,
Trespasses / Louise Kennedy,"Kennedy, Louise",43,,,,,,,,,,,
Peppa goes to Ireland / adapted by Lauren Holowaty ; Pe,"Holowaty, Lauren",43,,,,,,,,,,,
Lessons in chemistry / Bonnie Garmus,"Garmus, Bonnie",43,,,,,,,,,,,
The 156-storey treehouse / by Andy Griffiths & Terry De,"Griffiths, Andy, 1961-",43,,,,,,,,,,,
Machine mayhem / Jamie Smart,"Smart, Jamie",43,,,,,,,,,,,
Jessi's secret language / a graphic novel by Chan Chau,"Chau, Chan",43,,,,,,,,,,,
Otherlands : a world in the making / Thomas Halliday,"Halliday, Thomas",43,,,,,,,,,,,
