Top 100 Titles Loaned CBC 01/04/23 to 31/03/24,,,
,,,
ISBN,Ttitle,Author,Loans
1035022753,HEADS YOU WIN                                   ,"ARCHER, JEFFREY                 ",19
1974732525,FLOWER OF HAPPINESS                             ,"YAJIMA, AYA                     ",18
1800246366,INTO THE WOODS                                  ,"MARK, DAVID                     ",18
670919985,POWER                                           ,"ALDERMAN, NAOMI                 ",17
1408343452,KROTAX THE TUSKED DESTROYER                     ,"BLADE, ADAM                     ",17
1509834826,NOTION POTION                                   ,"ODOWD, CHRIS                    ",16
751585416,MARRIAGE                                        ,"SLATER, K L                     ",16
1848120907,"WELL DONE, LITTLE CROC                          ","MADDOX, TONY                    ",15
8183988,WAR LORD                                        ,"CORNWELL, BERNARD               ",14
8236283,COSY CHRISTMAS CHOCOLATE SHOP                   ,"ROBERTS, CAROLINE               ",13
1915054354,WINTER PEOPLE                                   ,"MURPHY, GRAINNE                 ",12
1445162458,PEACH BOY                                       ,"RICHEMONT, ENID                 ",12
8346992,CONTACTS                                        ,"WATSON, MARK                    ",12
7182317,INCREDIBLE BOOK EATING BOY                      ,"JEFFERS, OLIVER                 ",12
139870167X,NO ONE CAN CHANGE YOUR LIFE EXCEPT FOR YOU: HOW ,"WHITMORE, LAURA                 ",11
7264852,KING OF ASHES                                   ,"FEIST, RAYMOND E                ",11
751560243,PAPER HEARTS AND SUMMER KISSES                  ,"MATTHEWS, CAROLE                ",10
1849394067,BURPING BERTHA                                  ,"ROSEN, MICHAEL                  ",10
241306396,ROUGH GUIDE TO BARCELONA                        ,"SORENSEN, ANNELISE              ",9
1472290542,GRAVE OF A SHETLAND SAILOR                      ,"TAYLOR, MARSALI                 ",9
7504098,WARRIORS OF THE STORM                           ,"CORNWELL, BERNARD               ",9
000848113X,MISSING WIFE                                    ,"BARRETT, KERRY                  ",9
1529111250,MACHINES LIKE ME: AND PEOPLE LIKE YOU           ,"MACEWAN, IAN                    ",8
014036790X,MARK SPARK IN THE DARK                          ,"WILSON, JACQUELINE              ",8
7174640,PENULTIMATE PERIL                               ,"SNICKET, LEMONY                 ",8
1444959476,FOLK OF THE FARAWAY TREE                        ,"BLYTON, ENID                    ",8
1910751243,GIRL WITH NO PAST                               ,"CROFT, KATHRYN                  ",8
749676957,MUD MONSTER                                     ,"BILLAM, ROSEMARY                ",8
1405915218,FRONT RUNNER: A DICK FRANCIS NOVEL              ,"FRANCIS, FELIX                  ",7
7414374,PEEK-A-BOO BUNNY                                ,"SURPLICE, HOLLY                 ",7
7412851,BEST BIRD                                       ,"HAMBLETON, LAURA                ",7
333735242,CRIES UNHEARD: THE STORY OF MARY BELL           ,"SERENY, GITTA                   ",7
141379898,UNDERCOVER PRINCESS                             ,"GLYNN, CONNIE                   ",6
BX00123784,INVASION                                        ,"STOCKWIN, JULIAN                ",6
1471173682,JUNGLEDROP                                      ,"ELPHINSTONE, ABI                ",6
7206267,RUSSELL'S CHRISTMAS MAGIC                       ,"SCOTTON, ROB                    ",6
753445131,STEM JUNIOR MATHS                               ,"OCALLAGHAN, JONATHAN            ",5
BX00130859,WILMA MANKILLER                                 ,"VEGARA, MARIA ISABEL SANCHEZ    ",5
7420684,HUEYS IN IT WASN'T ME                           ,"JEFFERS, OLIVER                 ",4
1844901181,GIVING AND INHERITING                           ,"LOWE, JONQUIL                   ",4
7178360,BURNING BRIGHT                                  ,"CHEVALIER, TRACY                ",4
7182708,CARE FOR YOUR RABBIT                            ,ROYAL SOC FOR THE PREVENTION OF ,3
1409173151,TELL IT TO THE SKIES                            ,"JAMES, ERICA                    ",3
283072571,NO CUNNING PLAN: MY STORY                       ,"ROBINSON, TONY                  ",3
1848454457,NO PLACE LIKE HOME                              ,"MACOMBER, DEBBIE                ",3
1787303160,DETECTIVE                                       ,"CHOWDHURY, AJAY                 ",3
99464268,KATIE MORAG AND THE BIRTHDAYS                   ,"HEDDERWICK, MAIRI               ",3
7260822,WHERE RAINBOWS END                              ,"AHERN, CECELIA                  ",3
6755135,VAMPIRE'S ASSISTANT                             ,"SHAN, DARREN                    ",3
7302290,TIME'S LEGACY                                   ,"ERSKINE, BARBARA                ",3
7189885,PURPLE HIBISCUS                                 ,"ADICHIE, CHIMAMANDA NGOZI       ",3
7266995,KASPAR: PRINCE OF CATS                          ,"MORPURGO, MICHAEL               ",2
571336159,WHAT YOU WANT TO SEE                            ,"LEPIONKA, KRISTEN               ",2
1911585568,WATER SHALL REFUSE THEM                         ,"HARDY, LUCIE MACKNIGHT          ",2
7269765,FREEDOM                                         ,"FRANZEN, JONATHAN               ",2
BX00099599,NOT MY DAUGHTER                                 ,"DELINSKY, BARBARA               ",2
2163411,WHIPSNADE: CAPTIVE BREEDING FOR SURVIVAL        ,"HUXLEY, ELSPETH                 ",2
2159368,KNIGHT'S CROSS: A LIFE OF FIELD MARSHAL ERWIN RO,"FRASER, DAVID                   ",2
7190328,BOLEYN INHERITANCE                              ,"GREGORY, PHILIPPA               ",1
746073364,GINGERBREAD MAN                                 ,"MACKINNON, MAIRI                ",1
1846043,OTHER WAY ROUND                                 ,"KERR, JUDITH                    ",1
1445067498,OFFLINE                                         ,"HOLT, ANNE                      ",1
1628997796,LEGEND OF THE GOLDEN COYOTE: A WESTERN DUO      ,"BRAND, MAX                      ",1
7183518,WHEN THINGS FALL APART: HEARTFELT ADVICE FOR HAR,"CHODRON, PEMA                   ",1
861401875,POETRY OF STEVIE SMITH: LITTLE GIRL LOST        ,"RANKIN, ARTHUR C                ",1
1712810,OLD HAT NEW HAT                                 ,"BERENSTAIN, STAN                ",1
319261530,SHEET 55 LOCHGILPHEAD & LOCH AWE                ,"ORDNANCE SURVEY, LANDRANGER SERI",1
7261357,CITY OF THE SNAKES                              ,"SHAN, DARREN                    ",1
715365711,RHODES                                          ,"DICKS, BRIAN                    ",1
