Active Members CBC 01/04/23 to 31/03/24,
,
Library,Active Members
Ampthill Library,1667
Arlesey Resource Centre,396
Barton Library,1150
Biggleswade Library,3232
Dunstable Library,8009
Flitwick Library,3529
Houghton Regis Library,2603
Leighton Buzzard Library,7979
Potton Library,1007
Sandy Library,2432
Shefford Library,2964
Stotfold Library,1174
Toddington Library,934
Grand Total,37076
